gender,year,raw_cases 
Males,2017," 2,654 "
Females,2017," 1,914 "
Males ,2016,"2,583"
Females ,2016,"1,933"
Males,2015,2572
Females,2015,1882
Males ,2014,2398
Females ,2014,1803
Males ,2013,2499
Females ,2013,1783
Males ,2012,2336
Females ,2012,1623
Males ,2011,2265
Females ,2011,1749
Males,2010,2270
Females,2010,1665
Males ,2009,2290
Females ,2009,1669
Males ,2008,2179
Females ,2008,1602
