tumour_grade ,northern_care_alliance ,scotland_cancer_network,west_scotland_cancer_network,west_of_scotland_total
1,1.7,0,0,0.5
2,5,10.9,5.9,7
3,2.5,8.2,8.1,6.5
4,61.7,44.5,56.2,54.7
Not Applicable ,28.30,36.4,29.2,30.8
Not recorded,0.8,0,0.5,0.5
Total ,128,110,185,423
